"block","dataset","cell_id","cell_label","cell_count"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023038","L6b glutamatergic cortical neuron","580"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_0002605","astrocyte of the cerebral cortex","665"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023070","caudal ganglionic eminence derived GABAergic cortical interneuron","127"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_1001602","cerebral cortex endothelial cell","9"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023036","chandelier pvalb GABAergic cortical interneuron","75"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023013","corticothalamic-projecting glutamatergic cortical neuron","509"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023011","lamp5 GABAergic cortical interneuron","1137"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_0000129","microglial cell","156"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023012","near-projecting glutamatergic cortical neuron","717"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_0000128","oligodendrocyte","868"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_0002453","oligodendrocyte precursor cell","329"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023018","pvalb GABAergic cortical interneuron","2318"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023015","sncg GABAergic cortical interneuron","317"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023017","sst GABAergic cortical interneuron","2945"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023051","vascular leptomeningeal cell","17"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H18.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023016","vip GABAergic cortical interneuron","1894"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023040","L2/3-6 intratelencephalic projecting glutamatergic cortical neuron","26082"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023041","L5 extratelencephalic projecting glutamatergic cortical neuron","63"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023038","L6b glutamatergic cortical neuron","848"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_0002605","astrocyte of the cerebral cortex","1103"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023070","caudal ganglionic eminence derived GABAergic cortical interneuron","326"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_1001602","cerebral cortex endothelial cell","48"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023036","chandelier pvalb GABAergic cortical interneuron","286"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023013","corticothalamic-projecting glutamatergic cortical neuron","824"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023011","lamp5 GABAergic cortical interneuron","2045"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_0000129","microglial cell","655"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023012","near-projecting glutamatergic cortical neuron","737"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_0000128","oligodendrocyte","2764"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_0002453","oligodendrocyte precursor cell","1151"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023018","pvalb GABAergic cortical interneuron","3355"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023015","sncg GABAergic cortical interneuron","966"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023017","sst GABAergic cortical interneuron","4362"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023051","vascular leptomeningeal cell","81"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.001_Brain","http://purl.obolibrary.org/obo/CL_4023016","vip GABAergic cortical interneuron","4212"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023040","L2/3-6 intratelencephalic projecting glutamatergic cortical neuron","16974"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023041","L5 extratelencephalic projecting glutamatergic cortical neuron","54"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023038","L6b glutamatergic cortical neuron","732"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_0002605","astrocyte of the cerebral cortex","821"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023070","caudal ganglionic eminence derived GABAergic cortical interneuron","185"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_1001602","cerebral cortex endothelial cell","17"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023036","chandelier pvalb GABAergic cortical interneuron","175"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023013","corticothalamic-projecting glutamatergic cortical neuron","638"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023011","lamp5 GABAergic cortical interneuron","1262"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_0000129","microglial cell","282"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023012","near-projecting glutamatergic cortical neuron","448"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_0000128","oligodendrocyte","1874"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_0002453","oligodendrocyte precursor cell","573"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023018","pvalb GABAergic cortical interneuron","1792"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023015","sncg GABAergic cortical interneuron","387"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023017","sst GABAergic cortical interneuron","2104"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023051","vascular leptomeningeal cell","26"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Male_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.30.002_Brain","http://purl.obolibrary.org/obo/CL_4023016","vip GABAergic cortical interneuron","2100"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.33.004_Brain","http://purl.obolibrary.org/obo/CL_4023040","L2/3-6 intratelencephalic projecting glutamatergic cortical neuron","14018"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.33.004_Brain","http://purl.obolibrary.org/obo/CL_4023041","L5 extratelencephalic projecting glutamatergic cortical neuron","74"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.33.004_Brain","http://purl.obolibrary.org/obo/CL_4023038","L6b glutamatergic cortical neuron","241"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.33.004_Brain","http://purl.obolibrary.org/obo/CL_0002605","astrocyte of the cerebral cortex","2368"
"https://portal.brain-map.org/explore/seattle-alzheimers-disease#Human-MTG-10x_SEA-AD_Female_TissueBlock","https://cns-iu.github.io/hra-cell-type-populations-supporting-information/data/enriched_rui_locations.jsonld#1ca90a2d-2943-483d-b678-b809bf464c30_H19.33.004_Brain","http://purl.obolibrary.org/obo/CL_4023070","caudal ganglionic eminence derived GABAergic cortical interneuron","249"
