tissue_type,cell_type_ontology_id,cell_type,Total
interventricular septum,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",314
interventricular septum,CL:0000814,mature NK T cell,272
interventricular septum,CL:0000896,"activated CD4-positive, alpha-beta T cell",204
interventricular septum,CL:0000906,"activated CD8-positive, alpha-beta T cell",289
interventricular septum,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",414
interventricular septum,CL:0001054,CD14-positive monocyte,471
interventricular septum,CL:0002131,regular ventricular cardiac myocyte,28684
interventricular septum,CL:0002138,endothelial cell of lymphatic vessel,157
interventricular septum,CL:0002144,capillary endothelial cell,11447
interventricular septum,CL:0002319,neural cell,428
interventricular septum,CL:0002397,"CD14-positive, CD16-positive monocyte",903
interventricular septum,CL:0002543,vein endothelial cell,811
interventricular septum,CL:1000309,epicardial adipocyte,146
interventricular septum,CL:1000413,endothelial cell of artery,3682
interventricular septum,unknown,unknown,6560
left cardiac atrium,CL:0000057,fibroblast,10917
left cardiac atrium,CL:0000077,mesothelial cell,431
left cardiac atrium,CL:0000097,mast cell,260
left cardiac atrium,CL:0000115,endothelial cell,3064
left cardiac atrium,CL:0000192,smooth muscle cell,3413
left cardiac atrium,CL:0000235,macrophage,3380
left cardiac atrium,CL:0000236,B cell,213
left cardiac atrium,CL:0000451,dendritic cell,171
left cardiac atrium,CL:0000576,monocyte,352
left cardiac atrium,CL:0000623,natural killer cell,638
left cardiac atrium,CL:0000669,pericyte cell,13195
left cardiac atrium,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",871
left cardiac atrium,CL:0000814,mature NK T cell,305
left cardiac atrium,CL:0000896,"activated CD4-positive, alpha-beta T cell",197
left cardiac atrium,CL:0000906,"activated CD8-positive, alpha-beta T cell",743
left cardiac atrium,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",484
left cardiac atrium,CL:0001054,CD14-positive monocyte,361
left cardiac atrium,CL:0002129,regular atrial cardiac myocyte,14772
left cardiac atrium,CL:0002138,endothelial cell of lymphatic vessel,109
left cardiac atrium,CL:0002144,capillary endothelial cell,7498
left cardiac atrium,CL:0002319,neural cell,1072
left cardiac atrium,CL:0002397,"CD14-positive, CD16-positive monocyte",809
left cardiac atrium,CL:0002543,vein endothelial cell,1778
left cardiac atrium,CL:1000309,epicardial adipocyte,1549
left cardiac atrium,CL:1000413,endothelial cell of artery,2049
left cardiac atrium,unknown,unknown,4103
right cardiac atrium,CL:0000057,fibroblast,10389
right cardiac atrium,CL:0000077,mesothelial cell,228
right cardiac atrium,CL:0000097,mast cell,50
right cardiac atrium,CL:0000115,endothelial cell,3552
right cardiac atrium,CL:0000192,smooth muscle cell,1576
right cardiac atrium,CL:0000235,macrophage,1641
right cardiac atrium,CL:0000236,B cell,427
right cardiac atrium,CL:0000451,dendritic cell,98
right cardiac atrium,CL:0000576,monocyte,242
right cardiac atrium,CL:0000623,natural killer cell,397
right cardiac atrium,CL:0000669,pericyte cell,2787
right cardiac atrium,CL:0000794,"CD8-positive, alpha-beta cytotoxic T cell",584
right cardiac atrium,CL:0000814,mature NK T cell,146
right cardiac atrium,CL:0000896,"activated CD4-positive, alpha-beta T cell",137
right cardiac atrium,CL:0000906,"activated CD8-positive, alpha-beta T cell",639
right cardiac atrium,CL:0000934,"CD4-positive, alpha-beta cytotoxic T cell",345
right cardiac atrium,CL:0001054,CD14-positive monocyte,375
right cardiac atrium,CL:0002129,regular atrial cardiac myocyte,8711
right cardiac atrium,CL:0002138,endothelial cell of lymphatic vessel,19
right cardiac atrium,CL:0002144,capillary endothelial cell,1540
right cardiac atrium,CL:0002319,neural cell,829
right cardiac atrium,CL:0002397,"CD14-positive, CD16-positive monocyte",401
right cardiac atrium,CL:0002543,vein endothelial cell,1707
right cardiac atrium,CL:1000309,epicardial adipocyte,662
right cardiac atrium,CL:1000413,endothelial cell of artery,1440
right cardiac atrium,unknown,unknown,2581
